title,renamed_title,url,duration_seconds,occurence_intervals,randomly_sampled_intervals,relevant
Tom Mustill - Humpback Whales - A Detective Story ( trailer ),video_0000.mp4,https://youtu.be/8j1HWD8KuMM,82,"[('0:00', '0:04'), ('0:30', '0:37'), ('1:11', '1:14')]",,TRUE
Suckling Humpback whale,video_0001.mp4,https://youtu.be/tW_T8Z6ebmg,141,"[('0:30', '0:40')]",,TRUE
Humpback Whales Lunge Feed Among Pod of Dolphins on San Diego Coast,video_0002.mp4,https://youtu.be/oSGhnD5kmAg,104,"[('0:00', '0:10'), ('0:42', '0:46')]",,TRUE
Humpback whales 2017 - Best of by Moorea Ocean Adventures,video_0003.mp4,https://youtu.be/6eWwFNq4i_c,224,"[('0:05', '0:20'), ('0:28', '0:33')]",,TRUE
Amazing! Humpback Whales Lunge Feeding up close! Monterey Bay 9/16/15,video_0004.mp4,https://youtu.be/RMaMmynj76s,75,"[('0:00', '0:15'), ('0:35', '0:40')]",,TRUE
Pod of Humpback Whales Spotted Traveling North Off Hawaii Coast,video_0005.mp4,https://youtu.be/WxrJtmYoHzM,121,"[('0:00', '0:15')]",,TRUE
Shocked Kiteboarder Hits Humpback Whale,video_0006.mp4,https://youtu.be/ym6e3SAuyXg,39,"[('0:20', '0:25')]",,TRUE
Humpback Whales in the Ha'apai islands of Tonga,video_0007.mp4,https://youtu.be/H5xilsOjd2o,167,"[('0:33', '0:37'), ('0:42', '0:52')]",,TRUE
Humpback Whales & Dolphins,video_0008.mp4,https://youtu.be/xE3g5UFS7aI,90,"[('0:00', '0:15')]",,TRUE
Humpback whales breach near BC kayakers,video_0009.mp4,https://youtu.be/8eF3T9nm9KU,139,"[('0:00', '0:07'), ('0:11', '0:20')]",,TRUE
Incredible Moment Humpback Whale High Fives Diver,video_0010.mp4,https://youtu.be/eTlajj5qDoY,88,"[('0:00', '0:10'), ('0:30', '0:35')]",,TRUE
7.30.19 Lunge feeding Humpback Whales,video_0011.mp4,https://youtu.be/Hxj-iHHAa24,111,"[('0:10', '0:20'), ('1:12', '1:15')]",,TRUE
"Baby Orca ""Taken"" By Humpback Whales",video_0012.mp4,https://youtu.be/H3qAaxdjATE,53,"[('0:10', '0:23')]",,TRUE
Humpback Whale Birth,video_0013.mp4,https://youtu.be/4qx_In8Ny2s,130,"[('0:05', '0:20')]",,TRUE
Dolphins Ride on Humpback Whales in Monterey Bay,video_0014.mp4,https://youtu.be/Dz817OfdCWY,97,"[('0:15', '0:20'), ('0:42', '0:52'), ('1:05', '1:15')]",,TRUE
Maui Humpback Whales Breaching,video_0015.mp4,https://youtu.be/bAQ3L_A3TxM,123,"[('0:00', '0:03'), ('1:55', '2:00')]",,TRUE
Incredible Drone And Underwater Footage Of Humpback Whales,video_0016.mp4,https://youtu.be/yCqxJfuthls,118,"[('0:02', '0:17')]",,TRUE
Fisherman Has Close Encounter With Humpback Whales,video_0017.mp4,https://youtu.be/PYtbutOrVXk,39,"[('0:01', '0:07')]",,TRUE
Humpback Whales Jumping (Amazing Drone Footage),video_0018.mp4,https://youtu.be/USlfNF-jgcU,89,"[('0:00', '0:10'), ('0:30', '0:35')]",,TRUE
"My VERY CLOSE encounter with ""Gloria"" the humpback whale",video_0019.mp4,https://youtu.be/MW0BM9hIGFU,405,"[('1:04', '1:20'), ('4:36', '4:40')]",,TRUE
"The Feast, Orcas and Humpback whales hunting herring in Norway",video_0020.mp4,https://youtu.be/0EuMbD4zecQ,137,"[('0:25', '0:35'), ('1:28', '1:34')]",,TRUE
Baby Humpback Whale Rescue,video_0021.mp4,https://youtu.be/z532StqPiB4,562,"[('1:35', '1:37')]",,TRUE
"Drone Footage of Humpback Whales Feeding and Foraging in San Diego, California",video_0022.mp4,https://youtu.be/CFOCC5XpTT0,233,"[('0:00', '0:15')]",,TRUE
"Humpback Whales Pay a Visit,  Whales Charging Boat",video_0023.mp4,https://youtu.be/tIwcaihmF5o,79,"[('0:34', '0:44')]",,TRUE
7.25.19 Lunge Feeding Humpback Whales,video_0024.mp4,https://youtu.be/NIi_ewCqOqI,130,"[('0:00', '0:10'), ('0:55', '1:02')]",,TRUE
Humpback Whales Breach in Marina | Whale Hello,video_0025.mp4,https://youtu.be/pKuR-KEOYm4,50,"[('0:07', '0:12'), ('0:30', '0:35')]",,TRUE
Humpback Whales Lunge Feeding In Monterey Bay!,video_0026.mp4,https://youtu.be/euYTbsjTJyo,98,"[('0:00', '0:15')]",,TRUE
"Swimming with Humpback Whales off Moorea / Tahiti, French Polynesia",video_0027.mp4,https://youtu.be/NavthP7hxsw,63,"[('0:30', '0:45')]",,TRUE
[TweenieZELL] Untamed&Uncut-Humpback Whale Swats Diver,video_0028.mp4,https://youtu.be/jL_jhgN7BBE,110,"[('0:20', '0:35')]",,TRUE
Humpback whale jump underwater and surface,video_0029.mp4,https://youtu.be/g5cKpXH_owc,256,"[('0:10', '0:25')]",,TRUE
8.1.19 Humpback Whales,video_0030.mp4,https://youtu.be/xsV7dykAvRQ,133,"[('0:00', '0:15'), ('0:26', '0:28')]",,TRUE
Daredevil Swims Close To Humpback Whale,video_0031.mp4,https://youtu.be/pGQLxZl3cVQ,81,"[('0:20', '0:33')]",,TRUE
Tangled Mother Humpback Whale Needs Help,video_0032.mp4,https://youtu.be/kkNdxJvrvUg,234,"[('1:05', '1:20')]",,TRUE
close encounter with Humpback Whales,video_0033.mp4,https://youtu.be/HmgagtS6u3k,245,"[('1:34', '1:40')]",,TRUE
Fishermen Save Tangled Humpback Whale,video_0034.mp4,https://youtu.be/Q5N4i_rmNlg,187,"[('0:57', '1:02')]",,TRUE
Humpback Whale Breaching Display on the Gold Coast - Whale Watch Australia,video_0035.mp4,https://youtu.be/0YbyXiMbGUw,138,"[('0:25', '0:40')]",,TRUE
Humpback Whale Backflip Caught on Camera || ViralHog,video_0036.mp4,https://youtu.be/7_FPOHx3Z4g,20,"[('0:07', '0:11')]",,TRUE
Humpback Whale Gets Trapped In Ventura Harbor,video_0037.mp4,https://youtu.be/ZKilos0TpCU,125,"[('1:15', '1:30')]",,TRUE
Rare New Video of Newborn Humpback Whale,video_0038.mp4,https://youtu.be/YN5F8Ne1dY4,83,"[('0:40', '0:48')]",,TRUE
"HUMPBACK WHALE SLAMS FISHING PIER!!!!! Avalon fishing pier, OBX, May 5, 2019",video_0039.mp4,https://youtu.be/bhgwfZPJA7U,31,"[('0:15', '0:20')]",,TRUE
Humpback Whales in 4K w/ Mavic 2 Pro! [BBC Style],video_0040.mp4,https://youtu.be/islcacjS2eg,146,"[('1:10', '1:25')]",,TRUE
39 - OMG Those Are Humpback Whales!,video_0041.mp4,https://youtu.be/DfhSgCVQ7rs,867,"[('2:57', '3:12')]",,TRUE
Humpback Whales Mating,video_0042.mp4,https://youtu.be/rHJtvVMwuqU,194,"[('1:19', '1:29')]",,TRUE
The Future for Humpback Whales | BBC Studios,video_0043.mp4,https://youtu.be/SFgdMhiV0uE,205,"[('0:00', '0:15'), ('1:58', '2:03')]",,TRUE
Humpback whales in watamu becomes a key attraction in Kenya’s coastal tourism,video_0044.mp4,https://youtu.be/VOCboCg9SMk,109,"[('0:55', '1:00')]",,TRUE
Humpback WHALES spotted at JONES BEACH Long Island,video_0045.mp4,https://youtu.be/UxkWf8fcct8,35,"[11 sec, 26 sec]","[11 sec, 26 sec]",FALSE
Humpback Whale Breaches Near a Boat Off New Jersey,video_0046.mp4,https://youtu.be/TA7nBE2PeXc,32,"[('0:02', '0:05')]",,TRUE
Humpback Whales Monterey Bay 9/15/07,video_0047.mp4,https://youtu.be/O-YlG-pUkG0,45,"[('0:03', '0:10'), ('0:20', '0:24')]",,TRUE
Dave Salmoni Gets Dangerously Close To A Pod of Humpback Whales | Deadly Islands,video_0048.mp4,https://youtu.be/Hh5rZZZwSQ0,476,"[('3:54', '4:04'), ('5:08', '5:12')]",,TRUE
Paddle Boarders Incredible Encounter With Humpback Whale School,video_0049.mp4,https://youtu.be/RxVkTM04JxE,28,"[('0:10', '0:25')]",,TRUE
Humpback Whales Spouting Off || ViralHog,video_0050.mp4,https://youtu.be/wPwfYixE3hY,23,"[('0:07', '0:17')]",,TRUE
"Humpback whale watching at Bay of Samana, Dominican Republic",video_0051.mp4,https://youtu.be/Fp5Yef9Qtnk,88,"[('0:14', '0:24'), ('0:42', '0:46')]",,TRUE
Newfoundland Whale Watching Tours: Humpback Whales Put On A Show,video_0052.mp4,https://youtu.be/tDDHSLyDybo,339,"[('0:00', '0:08'), ('2:00', '2:15')]",,TRUE
Divers and volunteers help to save humpback whale off Peru's coast,video_0053.mp4,https://youtu.be/b2stpTlQ3dU,100,"[('0:45', '0:50'), ('1:00', '1:05'), ('0:00', '0:05')]",,TRUE
Humpback Whales in Pismo Beach from a Paddleboard and Kayak!,video_0054.mp4,https://youtu.be/5DA1y3N6e3k,59,"[('0:00', '0:05'), ('0:52', '0:54'), ('0:10', '0:17')]",,TRUE
Humpback whales feeding | Whale and Dolphin Conservation,video_0055.mp4,https://youtu.be/uOwUO6cZXoM,435,"[('0:00', '0:10'), ('0:15', '0:17'), ('0:44', '0:47'), ('1:20', '1:25'), ('2:22', '2:30')]",,TRUE
Humpback Whales off Rockaways Queens New York City,video_0056.mp4,https://youtu.be/rOMLh7cKaWY,32,"[('0:00', '0:03'), ('0:06', '0:09'), ('0:12', '0:15'), ('0:27', '0:30')]",,TRUE
WILD Humpback Whale Breaching Near Sunset Cliffs San Diego!,video_0057.mp4,https://youtu.be/TDyzP35hTKM,51,"[('0:00', '0:05'), ('0:10', '0:12'), ('0:16', '0:18'), ('0:42', '0:45')]",,TRUE
"Humpback Whales Breaching in São Miguel, Azores Islands | TERRA AZUL™",video_0058.mp4,https://youtu.be/M7rMGYqtSiA,99,"[('0:43', '0:45'), ('1:02', '1:06')]",,TRUE
Snorkelling with Orcas and Humpback Whales in Northern Norway,video_0059.mp4,https://youtu.be/PnvdiFruV28,205,"[('0:38', '0:43')]",,TRUE
Humpback Whales Startle Kayakers | North America,video_0060.mp4,https://youtu.be/G10_wHNNPeI,154,"[('0:19', '0:25'), ('0:32', '0:38'), ('1:05', '1:13')]",,TRUE
Humpback Whales Bubble Blasting Krill captured with drone for the first time!,video_0061.mp4,https://youtu.be/RJaN1tFUhGI,170,"[('0:08', '0:13'), ('0:17', '0:30')]",,TRUE
Thrilling Humpback Whale experience,video_0062.mp4,https://youtu.be/VZWU4VpTzHQ,316,"[('0:08', '0:16'), ('0:55', '1:00')]",,TRUE
Humpback whales bubble feeding near Great Bear Lodge,video_0063.mp4,https://youtu.be/igkiK8X4x3E,74,"[('0:28', '0:31'), ('0:41', '0:44'), ('0:52', '0:55')]",,TRUE
Tonga Humpback Whales HD 1080 GoPro4,video_0064.mp4,https://youtu.be/DIiCNd7hHHY,286,"[('0:30', '0:45')]",,TRUE
Humpback Whales off Dana Point,video_0065.mp4,https://youtu.be/Gmv4KM5rhOo,78,"[('0:12', '0:20'), ('0:42', '0:49')]",,TRUE
Humpback whale gives show after being rescued.,video_0066.mp4,https://youtu.be/4lrKXCqnBSI,501,"[('3:44', '3:48'), ('4:20', '4:25'), ('4:40', '4:45')]",,TRUE
Entangled Humpback Whale Frees Itself Off Dana Point As Whale Watchers Cheer,video_0067.mp4,https://youtu.be/1-uTTkasjM4,119,"[('0:00', '0:02'), ('0:58', '1:03'), ('1:05', '1:13'), ('1:29', '1:50')]",,TRUE
"Drone Footage of Humpback Whales Breaching, Pec Slapping, Tail Throwing & More!",video_0068.mp4,https://youtu.be/swScjAPHbAQ,107,"[('0:00', '0:15'), ('0:19', '0:21'), ('0:33', '0:35'), ('0:44', '0:47'), ('1:00', '1:02')]",,TRUE
Unbelievable Close Up Footage of a Humpback Whale at Fundy Bay,video_0069.mp4,https://youtu.be/GIFZ-AFQDkg,189,"[('0:00', '0:15')]",,TRUE
Humpback Whale Rescue! | JONATHAN BIRD'S BLUE WORLD,video_0070.mp4,https://youtu.be/M_IpPOUhjTY,559,"[('0:00', '0:03'), ('0:26', '0:36')]",,TRUE
Amazing rare drone footage of a humpback whale off the Cornish coast,video_0071.mp4,https://youtu.be/qUPmIEykGOY,338,"[('3:32', '3:47')]",,TRUE
"Snorkelling with Humpback Whales & Whale Sharks: Ningaloo Coast, Exmouth.",video_0072.mp4,https://youtu.be/MLN1f1rBE3Q,234,"[('1:50', '1:57'), ('2:15', '2:30')]",,TRUE
RARE DRONE FOOTAGE OF HUMPBACK WHALES IN 4K (MOMMA AND HER CALF) 🐋,video_0073.mp4,https://youtu.be/QRx2mDWGeQg,140,"[('0:40', '0:47'), ('1:50', '1:58')]",,TRUE
Nice Day with Humpback Whales,video_0074.mp4,https://youtu.be/oCrgwbI8ou0,78,"[('0:05', '0:10'), ('0:39', '0:50')]",,TRUE
Humpback Whale feeding frenzy off Cape Cod coast,video_0075.mp4,https://youtu.be/OUdXby3ONzg,68,"[('0:22', '0:32'), ('0:45', '0:51')]",,TRUE
Humpback whales return in big numbers to Atlantic coast,video_0076.mp4,https://youtu.be/YpnKWU-pBuM,216,"[('0:31', '0:35'), ('0:51', '0:55'), ('1:00', '1:03'), ('1:53', '1:56')]",,TRUE
Humpback Whale in Falmouth Bay,video_0077.mp4,https://youtu.be/N52HJPTd5Zo,127,"[('0:22', '0:25'), ('0:28', '0:33'), ('0:37', '0:40'), ('0:43', '0:45'), ('0:56', '1:00')]",,TRUE
Humpback whale Boa Vista Cabo Verde,video_0078.mp4,https://youtu.be/NIOyxPVfXHA,129,"[('0:39', '0:49'), ('1:55', '2:00')]",,TRUE
7.27.19 Lunge Feeding Humpback Whales,video_0079.mp4,https://youtu.be/h25b8GbHcs8,124,"[('0:28', '0:32'), ('0:35', '0:39'), ('0:54', '0:58'), ('1:18', '1:22')]",,TRUE
Humpback Whale Shows AMAZING Appreciation After Being Freed From Nets,video_0080.mp4,https://youtu.be/yyPH0jjexh0,501,"[('5:47', '5:51'), ('3:36', '3:40'), ('3:45', '3:49'), ('4:10', '4:14')]",,TRUE
"Double Humpback Whale Breach, Bay Bulls, Newfoundland",video_0081.mp4,https://youtu.be/-gpk-qudJzA,74,"[('0:02', '0:05'), ('1:02', '1:05')]",,TRUE
Moorea Humpback whales snorkeling,video_0082.mp4,https://youtu.be/DlBhBLTtoAg,338,"[('0:49', '0:51'), ('1:02', '1:12'), ('3:02', '3:11')]",,TRUE
Breaching humpback whales in maui.,video_0083.mp4,https://youtu.be/h9YLidVhczs,263,"[('0:05', '0:07'), ('1:17', '1:20'), ('1:44', '1:47'), ('1:55', '1:59'), ('2:06', '2:10')]",,TRUE
GoPro: Humpback Whales From A Drone,video_0084.mp4,https://youtu.be/MDtmoV4CdCo,97,"[('0:11', '0:13'), ('0:17', '0:20'), ('0:25', '0:30'), ('0:49', '0:55')]",,TRUE
7.28.19 Humpback Whales,video_0085.mp4,https://youtu.be/2DzgMAK7s4M,118,"[('0:05', '0:10'), ('0:15', '0:21'), ('0:52', '0:59'), ('1:25', '1:31')]",,TRUE
Humpback Whales By Air in Tonga,video_0086.mp4,https://youtu.be/NpeWlH6RyOk,141,"[('0:10', '0:15'), ('0:18', '0:25'), ('0:40', '0:46'), ('0:49', '0:56')]",,TRUE
Humpback Whale Baby Calf Breathing | Diving with Whales | BBC Earth,video_0087.mp4,https://youtu.be/ljZwIcRUd4s,233,"[('0:30', '0:35'), ('0:44', '0:46'), ('0:56', '1:00'), ('2:25', '2:30')]",,TRUE
Drone footage captures pod of 60 humpback whales off Cape Town coast,video_0088.mp4,https://youtu.be/rgmO7MMKcs8,68,"[('0:45', '0:50'), ('0:57', '1:02')]",,TRUE
Ginger Zee swims with humpback whales live on 'GMA',video_0089.mp4,https://youtu.be/UM7m_sCwFwg,416,"[('1:48', '1:52'), ('2:00', '2:03'), ('2:08', '2:15'), ('4:01', '4:15')]",,TRUE
Humpback Whales from Ucluelet and Tofino BC,video_0090.mp4,https://youtu.be/o__-z-lePjA,178,"[('0:17', '0:22'), ('0:23', '0:27'), ('1:19', '1:22'), ('1:27', '1:35'), ('2:11', '2:15')]",,TRUE
Heroes Rescue Humpback Whale from Illegal Fishing Nets,video_0091.mp4,https://youtu.be/pyRrSNQ-mfM,118,"[('0:38', '0:43'), ('1:38', '1:41')]",,TRUE
Humpback Whale Feeding at Avila Beach (Aerial/Drone Footage),video_0092.mp4,https://youtu.be/YwHQKW8l7p0,217,"[('0:38', '0:50'), ('1:55', '1:57'), ('2:28', '2:31')]",,TRUE
Salt Cay Humpback Whales,video_0093.mp4,https://youtu.be/prENP-cteb0,460,"[('0:00', '0:05'), ('0:48', '0:54'), ('5:35', '5:42')]",,TRUE
Sea lions swim next to humpback whale near West Seattle,video_0094.mp4,https://youtu.be/30IWFnuY43w,128,"[('0:00', '0:10'), ('1:22', '1:28')]",,TRUE
Entangled Humpback Whale Thrashes Tail,video_0095.mp4,https://youtu.be/tjfMJYr8dMo,72,"[('0:00', '0:04'), ('0:08', '0:13'), ('0:39', '0:44')]",,TRUE
Underwater film of Humpback whales hunting in shallow water in Norway.,video_0096.mp4,https://youtu.be/YOa8K_B3F2s,459,"[('1:20', '1:25'), ('2:04', '2:20'), ('6:03', '6:10')]",,TRUE
Arabian Sea Humpback Whale (English) Environment Society of Oman ESO,video_0097.mp4,https://youtu.be/gWofeL2RV-g,486,"[('0:17', '0:20'), ('0:43', '0:50'), ('0:56', '1:00'), ('6:27', '6:43')]",,TRUE
Humpback whale breach,video_0098.mp4,https://youtu.be/8gbE745d0uw,26,"[('0:02', '0:06'), ('0:17', '0:22')]",,TRUE
"Megaptera, an insight into the life of humpback whales.",video_0099.mp4,https://youtu.be/91GBC02ru9s,729,"[('3:43', '3:50'), ('3:57', '4:01'), ('4:07', '4:12'), ('8:25', '8:36')]",,TRUE
Humpback Whale Expedition - We arrive on Salt Cay,video_0100.mp4,https://youtu.be/HB-zqdequrs,270,"[120 sec, 135 sec]","[120 sec, 135 sec]",FALSE
"Sea kayaking with humpback whales - Bartlett Cove, Glacier Bay, Alaska",video_0101.mp4,https://youtu.be/hsPsulhkZSU,108,"[('1:30', '1:36'), ('0:55', '1:00')]",,TRUE
"Fukushima news; PACIFIC Humpback Whales in ACUTE decline, Pacific Ocean 90 % Dead post March 2011",video_0102.mp4,https://youtu.be/7bJApapF7QA,1079,,"[984 sec, 999 sec]",FALSE
Humpback whale: Acrobatic animal,video_0104.mp4,https://youtu.be/annlmtwKcQU,26,"[('0:10', '0:20')]",,TRUE
Humpback Whale Firth of Forth #shorts,video_0105.mp4,https://youtu.be/f-XCgIF2uo4,34,"[('0:03', '0:08'), ('0:26', '0:30')]",,TRUE
Humpback whale in Liverpool,video_0106.mp4,https://youtu.be/KlN9m8naRtU,388,,"[145 sec, 160 sec]",FALSE
The incredible moment a humpback whale tips up a motor boat,video_0107.mp4,https://youtu.be/FavL7MOoPKY,87,"[('0:00', '0:14')]",,TRUE
Photographer captures humpback whale,video_0108.mp4,https://youtu.be/8FfbvObOkNA,93,"[('0:28', '0:32')]",,TRUE
Humpback Whale breaches ten times,video_0109.mp4,https://youtu.be/q1eNcoRLzFY,100,,"[53 sec, 68 sec]",FALSE
"Humpback whale ""love taps"" canoe in Hawaii",video_0110.mp4,https://youtu.be/3iL4BxCOT0c,35,,"[7 sec, 22 sec]",FALSE
Humpback Whale Sampler,video_0111.mp4,https://youtu.be/o1bwcna56rk,82,"[('0:05', '0:20'), ('0:40', '0:50')]",,TRUE
"Humpback whale carcass, Torii Station, Okinawa",video_0113.mp4,https://youtu.be/czoy5r0O7yk,87,,"[57 sec, 72 sec]",FALSE
Orcas and humpback whale in northen Norway,video_0114.mp4,https://youtu.be/f2zwJX3cTyU,214,,"[1 sec, 16 sec]",FALSE
GTA 5 | How to play as humpback whale? | Grand Theft Auto V,video_0115.mp4,https://youtu.be/xYJ7msi3tAk,509,,"[209 sec, 224 sec]",FALSE
"(3-second clip) Kirk tells Spock, pair of humpback whales named George and Gracie. Star Trek IV",video_0116.mp4,https://youtu.be/LMc3Va0D1rQ,3,,"[2 sec, 5 sec]",FALSE
Fur Seals and Whales Feast on Krill | Blue Planet | BBC Earth,video_0117.mp4,https://youtu.be/esGp4P23gK8,222,"[('0:50', '0:55'), ('0:58', '1:05'), ('1:11', '1:22'), ('1:36', '1:40')]",,TRUE
Humpback Whale Stranded - South Africa,video_0118.mp4,https://youtu.be/HbTKPauv_Iw,172,"[('0:10', '0:25')]",,TRUE
Phoebe's Humpback Whale Adventure (Accessible Preview),video_0119.mp4,https://youtu.be/xsH4lWUWqg8,103,"[('0:15', '0:17'), ('0:23', '0:33')]",,TRUE
Top 10 Tourist Attractions in Alaska's Inside Passage.Full HD,video_0121.mp4,https://youtu.be/YcvV3HkzC-g,512,"[('3:01', '3:18')]",,TRUE
TOP 10 Largest SEA CREATURES by LENGTH,video_0122.mp4,https://youtu.be/vD8wIOxXvEw,391,,"[364 sec, 379 sec]",FALSE
Top 10 LARGEST Animals in the WORLD 2019!!,video_0123.mp4,https://youtu.be/o7Q-wsuH-aI,440,,"[132 sec, 147 sec]",FALSE
"GTA5 ALL UNDERWATER ANIMALS LOCATIONS!!! (Humpback Whale, Hammerhead Shark & MORE!)",video_0124.mp4,https://youtu.be/ilor0A-s3ts,175,,"[60 sec, 75 sec]",FALSE
Marine Life Spotlight: Humpback Whale,video_0125.mp4,https://youtu.be/eBuZzZsA_4g,41,,"[20 sec, 35 sec]",FALSE
"Top 10 reasons to move to San Diego, California. Vacation, Visit or live in San Diego.",video_0126.mp4,https://youtu.be/_MyNFyMxav8,544,,"[227 sec, 242 sec]",FALSE
